mcs,loc,scale,skewness,tailweight,es_alpha,es_beta,kf_sensor_noise,sigma_r,sigma_v
0,11.65393785513402,3.877507797604709,0.3602975522720451,1.0966422191036909,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
1,11.752459670140652,3.9483719829596446,0.3374927612280167,1.114881614980944,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
2,11.91869022606955,4.1289157328863935,0.2864535750328397,1.1992382547701346,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
3,12.036155932343735,4.165430532198794,0.2667796120885035,1.2239463918406743,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
4,11.711956895426132,3.9420115043363775,0.3405139772769918,1.1093788351445586,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
5,15.134034991944617,3.9536981970248894,0.3267428835806004,1.1227637521444085,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
6,16.429067127279076,3.913013069324228,0.3327343972991688,1.1200316432734243,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
7,17.676273803734627,3.873838269524956,0.3452077084421544,1.1101468286110574,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
8,21.532718477733063,3.9133803489941137,0.3287417404003797,1.129658601444765,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
9,23.0014091933198,3.853182889999326,0.3458826058289599,1.1008682211959366,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
10,29.50704065714172,3.81431887300925,0.3574543188501848,1.0937818841473397,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
11,31.626243272933067,3.934966930602154,0.3157052894363473,1.143993027709254,0.27773556,0.1497571,0.74542284,0.83820117,0.3324591
