mode,snr,n,k
0,10,3503,672
0,11,8026,2260
0,12,17080,6730
0,13,27007,13381
0,14,2097,1236
0,15,76693,52148
0,16,88922,66835
0,17,90203,72950
0,18,90752,77543
0,19,90906,81309
0,20,91368,84188
0,21,91678,86422
0,22,91801,88033
0,23,91890,89223
0,24,91978,89971
0,25,92083,90597
0,26,92119,91094
0,27,92145,91409
0,28,92158,91654
0,29,91988,91607
0,30,92173,91913
0,31,92098,91906
0,32,92101,91956
0,33,92100,92011
0,34,92119,92039
0,35,92189,92139
0,36,92190,92140
0,37,92110,92081
0,38,92195,92173
0,39,92111,92093
0,40,92021,92002
0,41,91943,91930
0,42,92195,92187
0,43,92112,92105
0,44,92194,92187
0,45,91939,91928
0,46,91944,91937
0,47,92110,92096
0,48,92116,92106
0,49,91942,91932
0,50,92111,92096
0,51,92194,92186
0,52,92108,92097
0,53,92024,92019
0,54,92114,92110
0,55,92105,92099
0,5,0,0
0,6,7,0
0,7,99,4
0,8,476,30
0,9,2482,267
10,10,2388,0
10,11,1699,0
10,12,506,0
10,13,238,0
10,14,140,0
10,15,112,0
10,16,112,0
10,17,112,0
10,18,112,0
10,19,112,0
10,20,112,0
10,21,112,0
10,22,112,0
10,23,112,0
10,24,98,4
10,25,46646,1332
10,26,48226,3166
10,27,61804,7748
10,28,111647,23010
10,29,113674,34132
10,30,110749,45297
10,31,108024,55384
10,32,106023,64905
10,33,104690,73148
10,34,103721,79530
10,35,102875,84796
10,36,102709,89046
10,37,102383,92418
10,38,102160,94742
10,39,102005,96740
10,40,101889,98059
10,41,101807,99046
10,42,101736,99751
10,43,101695,100278
10,44,101659,100666
10,45,101645,100915
10,46,101627,101073
10,47,101614,101252
10,48,101610,101340
10,49,101602,101432
10,50,101599,101484
10,51,101590,101470
10,52,101601,101518
10,53,101593,101531
10,54,101595,101549
10,55,101591,101558
10,5,0,0
10,6,7,0
10,7,81,0
10,8,347,0
10,9,1662,0
11,10,2614,0
11,11,1273,0
11,12,553,0
11,13,168,0
11,14,168,0
11,15,112,0
11,16,112,0
11,17,112,0
11,18,112,0
11,19,112,0
11,20,112,0
11,21,112,0
11,22,112,0
11,23,112,0
11,24,112,0
11,25,112,0
11,26,110,1
11,27,19047,576
11,28,53602,3728
11,29,71017,9188
11,30,99753,20824
11,31,99616,30556
11,32,121447,50483
11,33,118204,61350
11,34,116569,71931
11,35,115182,80678
11,36,114475,88195
11,37,113756,93987
11,38,113262,98521
11,39,112986,102037
11,40,112732,104960
11,41,112578,106862
11,42,112447,108269
11,43,112382,109386
11,44,112346,110159
11,45,112303,110777
11,46,112266,111249
11,47,112243,111433
11,48,112238,111702
11,49,112231,111818
11,50,112217,111931
11,51,112212,111988
11,52,112205,112035
11,53,112213,112086
11,54,112203,112111
11,55,112201,112135
11,5,0,0
11,6,7,0
11,7,76,0
11,8,602,0
11,9,1575,0
1,10,4473,902
1,11,9115,2619
1,12,19056,7329
1,13,12586,6341
1,14,12361,7272
1,15,27,20
1,16,88982,66954
1,17,90257,73233
1,18,90813,77696
1,19,91285,81621
1,20,91736,84424
1,21,92043,86767
1,22,92215,88360
1,23,92338,89556
1,24,92412,90393
1,25,92467,91010
1,26,92509,91483
1,27,92538,91792
1,28,92555,92016
1,29,92573,92207
1,30,92586,92338
1,31,92590,92396
1,32,92597,92456
1,33,92600,92498
1,34,92601,92516
1,35,92605,92566
1,36,92601,92551
1,37,92598,92570
1,38,92605,92581
1,39,92605,92586
1,40,92603,92584
1,41,92606,92594
1,42,92606,92589
1,43,92602,92586
1,44,92608,92601
1,45,92608,92602
1,46,92608,92597
1,47,92605,92596
1,48,92608,92597
1,49,92606,92598
1,50,92607,92601
1,51,92609,92600
1,52,92607,92599
1,53,92607,92599
1,54,92610,92597
1,55,92605,92598
1,5,0,0
1,6,21,0
1,7,63,2
1,8,381,24
1,9,3615,416
2,10,3290,645
2,11,7535,2189
2,12,12053,4733
2,13,20424,10159
2,14,31367,18635
2,15,66160,44630
2,16,86660,64995
2,17,89249,72330
2,18,90635,77433
2,19,91187,81466
2,20,91763,84453
2,21,92043,86872
2,22,92214,88431
2,23,92329,89650
2,24,92413,90374
2,25,92475,91077
2,26,92512,91519
2,27,92539,91803
2,28,92557,92046
2,29,92577,92222
2,30,92580,92326
2,31,92588,92382
2,32,92600,92447
2,33,92597,92498
2,34,92605,92533
2,35,92600,92552
2,36,92608,92565
2,37,92603,92567
2,38,92604,92575
2,39,92603,92589
2,40,92606,92582
2,41,92602,92586
2,42,92604,92591
2,43,92607,92591
2,44,92606,92599
2,45,92602,92588
2,46,92608,92600
2,47,92604,92595
2,48,92607,92600
2,49,92603,92594
2,50,92609,92597
2,51,92611,92603
2,52,92605,92600
2,53,92604,92597
2,54,92609,92603
2,55,92610,92604
2,5,6,0
2,6,14,0
2,7,110,3
2,8,492,32
2,9,3722,425
3,10,3825,739
3,11,11794,3453
3,12,16596,6556
3,13,40201,20109
3,14,41257,24508
3,15,79987,54207
3,16,86548,64913
3,17,89603,72599
3,18,90898,77707
3,19,91574,81897
3,20,92005,84778
3,21,92115,86856
3,22,92431,88634
3,23,92540,89677
3,24,92623,90632
